n,p,k,config,inference,var_order,val_order,trials,success_rate,avg_runtime,std_runtime,avg_checks,avg_backtracks,avg_steps
30,0.1,3,fc+mrv+lcv,fc,mrv,lcv,10,1,0.002639318,0.003801627,30,0,
30,0.1,3,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,1,0.00133357,0.001045818,31.2,1.2,
30,0.1,3,mac+mrv+lcv,mac,mrv,lcv,10,1,0.001217508,0.001115457,30,0,
30,0.1,3,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,1,0.0011446,0.001163483,30,0,
30,0.1,3,min_conflicts,min_conflicts,,lcv,10,0.7,1.216858864,1.962823902,3327682.9,,30032.7
30,0.1,4,fc+mrv+lcv,fc,mrv,lcv,10,1,0.00191412,0.000653993,30,0,
30,0.1,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,1,0.002080679,0.000839551,30,0,
30,0.1,4,mac+mrv+lcv,mac,mrv,lcv,10,1,0.00256865,0.001148991,30,0,
30,0.1,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,1,0.003302646,0.000726342,30,0,
30,0.1,4,min_conflicts,min_conflicts,,lcv,10,1,0.000463057,0.000516561,1361.9,,14.1
30,0.1,5,fc+mrv+lcv,fc,mrv,lcv,10,1,0.003422761,0.001633874,30,0,
30,0.1,5,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,1,0.003271627,0.000701684,30,0,
30,0.1,5,mac+mrv+lcv,mac,mrv,lcv,10,1,0.003056717,0.000675215,30,0,
30,0.1,5,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,1,0.003059316,0.001106687,30,0,
30,0.1,5,min_conflicts,min_conflicts,,lcv,10,1,0.000325108,0.00052735,886.9,,9.4
30,0.2,3,fc+mrv+lcv,fc,mrv,lcv,10,0,0.002206802,0.005029825,34.8,34.8,
30,0.2,3,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,0.002083135,0.004945154,36.4,36.4,
30,0.2,3,mac+mrv+lcv,mac,mrv,lcv,10,0,0.002593589,0.006119349,12,12,
30,0.2,3,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,0.001015091,0.001985022,11,11,
30,0.2,3,min_conflicts,min_conflicts,,lcv,10,0,5.691389203,0.275309464,16556469.1,,100000
30,0.2,4,fc+mrv+lcv,fc,mrv,lcv,10,1,0.007135296,0.006509702,30,0,
30,0.2,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,1,0.003455591,0.001964962,30.7,0.7,
30,0.2,4,mac+mrv+lcv,mac,mrv,lcv,10,1,0.003901434,0.002397337,30,0,
30,0.2,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,1,0.003878212,0.002171553,30.1,0.1,
30,0.2,4,min_conflicts,min_conflicts,,lcv,10,0.9,0.716666389,2.252681374,2140730,,10065.9
30,0.2,5,fc+mrv+lcv,fc,mrv,lcv,10,1,0.006154132,0.004841261,30,0,
30,0.2,5,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,1,0.003544021,0.002486849,30,0,
30,0.2,5,mac+mrv+lcv,mac,mrv,lcv,10,1,0.004512882,0.002780032,30,0,
30,0.2,5,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,1,0.009794736,0.005521382,30,0,
30,0.2,5,min_conflicts,min_conflicts,,lcv,10,1,0.000873733,0.000491074,2565,,15.7
30,0.3,3,fc+mrv+lcv,fc,mrv,lcv,10,0,0.003094888,0.005438666,20.4,20.4,
30,0.3,3,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,10,0,0.000711751,0.001184911,17.3,17.3,
30,0.3,3,mac+mrv+lcv,mac,mrv,lcv,10,0,0.002847958,0.00498372,9,9,
30,0.3,3,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,10,0,0.008323884,0.007356832,9,9,
30,0.3,3,min_conflicts,min_conflicts,,lcv,10,0,6.628854322,0.263863755,19416526.7,,100000
30,0.3,4,fc+mrv+lcv,fc,mrv,lcv,10,0,0.059391499,0.058232527,234.4,234.4,
